,Time [s],Fz [N],Fz filtered [N],target position [-]
0,0.0012001999999995405,-29.24727000000002,0.0,2075
1,0.03146929999999948,-29.267270000000025,-0.5632811925997487,1250
2,0.0620674999999995,-27.317270000000022,-1.6685319894006987,2057
3,0.09346159999999948,-14.157270000000024,-2.6940397306752617,1250
4,0.12466069999999974,-1.1372700000000222,-3.389038769180882,2037
5,0.15550549999999852,2.4127299999999767,-3.5530596549634725,1250
6,0.1863988999999986,6.692729999999977,-3.3916365207849664,2016
7,0.21792929999999977,10.702729999999978,-3.08563105440966,1250
8,0.24937749999999959,7.242729999999977,-2.6317530912656615,1996
9,0.2801577000000002,12.262729999999976,-2.184765247603554,1250
10,0.3115256999999989,14.722729999999977,-1.7249502590782018,1977
11,0.34238079999999904,16.232729999999975,-1.138787305412085,1250
12,0.3729447999999991,17.262729999999976,-0.4987431792665086,1959
13,0.40332559999999873,17.922729999999977,0.16556593269893638,1250
14,0.43474969999999935,18.362729999999978,0.8368349953814234,1942
15,0.4651002000000002,18.762729999999976,1.503432949802986,1250
16,0.4958777999999988,19.07272999999998,2.1605323089806685,1927
17,0.5270720999999998,19.182729999999978,2.8059952393688454,1250
18,0.5582886999999985,19.422729999999977,3.4346847697944254,1913
19,0.5902855000000002,19.592729999999978,4.045898838081615,1250
20,0.621657299999999,19.562729999999977,4.641466130116825,1900
21,0.6528907999999998,19.582729999999977,5.216789332973865,1250
22,0.6834013999999993,19.71272999999998,5.769759328451302,1889
23,0.7145823,19.842729999999978,6.3043186135219615,1250
24,0.7454970999999997,19.912729999999975,6.8232948621880665,1879
25,0.7764700999999992,20.112729999999978,7.326132753939519,1250
26,0.8072276999999985,20.112729999999978,7.814802064052471,1870
27,0.838474999999999,20.162729999999975,8.288500396530427,1250
28,0.8689368999999996,20.182729999999978,8.744915520569736,1862
29,0.8999831999999994,20.32272999999998,9.185098345755275,1250
30,0.9311948999999995,20.332729999999977,9.611407451354374,1855
31,0.9641684000000001,20.492729999999977,10.024184640164453,1250
32,0.9930918999999996,20.50272999999998,10.424336327461404,1849
33,1.0246484000000002,20.632729999999977,10.812348829236392,1250
34,1.0549883999999992,20.722729999999977,11.18811195106847,1844
35,1.0863512999999987,20.75272999999998,11.553638263228082,1250
36,1.1178416000000002,20.762729999999976,11.907396145343876,1839
37,1.1490437,20.732729999999975,12.24829815832195,1250
38,1.1811251999999985,20.812729999999977,12.575683935127831,1835
39,1.2126886,20.78272999999998,12.891422250752932,1250
40,1.2432359999999996,20.812729999999977,13.195961748494534,1832
41,1.2743335999999985,20.842729999999978,13.488770826851242,1250
42,1.3050979999999992,20.862729999999978,13.77145688100208,1830
43,1.3367426999999985,20.912729999999975,14.044217242402901,1250
44,1.3684692999999992,20.872729999999976,14.30781941981439,1828
45,1.3989677999999994,20.932729999999978,14.561460616737703,1250
46,1.4297185999999993,20.902729999999977,14.805717108423954,1827
47,1.4604711999999989,20.92272999999998,15.041142972838102,1250
48,1.4919028,20.92272999999998,15.267307981956078,1826
49,1.5232590999999989,20.952729999999978,15.485146628706946,1250
50,1.5535369999999986,20.932729999999978,15.695172225224603,1826
51,1.585197899999999,21.112729999999978,15.897300533378598,1250
52,1.6161645,21.132729999999977,16.094724636383383,1826
53,1.6468591999999997,21.14272999999998,16.288396104360796,1250
54,1.6774904,21.17272999999998,16.475185406750388,1827
55,1.7084969999999995,21.182729999999978,16.655550227322504,1251
56,1.7398498,21.202729999999978,16.82973802779101,1828
57,1.771492499999999,21.162729999999975,16.997794145261736,1252
58,1.802769399999999,21.202729999999978,17.158991799552915,1829
59,1.833935499999999,21.182729999999978,17.313980354194562,1254
60,1.864821599999999,21.232729999999975,17.46338416017612,1831
61,1.895405799999999,21.262729999999976,17.60761092665121,1256
62,1.9266103999999995,21.262729999999976,17.74782302937676,1833
63,1.957871599999999,21.302729999999976,17.88321214366263,1258
64,1.9896110999999994,21.302729999999976,18.014156636764504,1835
65,2.0205985999999996,21.242729999999977,18.1408277090386,1260
66,2.051919699999999,21.292729999999978,18.261464039031694,1838
67,2.0829455999999986,21.32272999999998,18.377261039966566,1263
68,2.113975,21.342729999999978,18.490138450452,1841
69,2.1452969,21.262729999999976,18.599630950647974,1266
70,2.1770499,21.25272999999998,18.70375040222306,1844
71,2.2092069,21.312729999999977,18.802125988984574,1269
72,2.2405200999999995,21.28272999999998,18.89767525465569,1847
73,2.272736499999999,21.292729999999978,18.990121879538098,1272
74,2.3037558999999987,21.222729999999977,19.078622409141076,1851
75,2.333603799999999,21.35272999999998,19.16255847035856,1276
76,2.3641881,21.302729999999976,19.244416992791283,1855
77,2.3948276999999987,18.312729999999977,19.32466318570153,1280
78,2.4254078999999997,19.082729999999977,19.343270218170773,1859
79,2.4559371,15.712729999999977,19.31840494603,1284
80,2.4881089999999997,18.802729999999976,19.244423335151705,1863
81,2.5186342999999987,17.832729999999977,19.167898791756425,1288
82,2.549384999999999,19.202729999999978,19.13515152399901,1867
83,2.581054999999999,15.782729999999978,19.111369343140765,1292
84,2.61135,19.242729999999977,19.049021705252294,1871
85,2.643222699999999,16.16272999999998,18.989845978839835,1296
86,2.6735983999999995,19.60272999999998,18.940268139706465,1875
87,2.7043882999999997,15.362729999999978,18.899533305682393,1299
88,2.7355871,17.522729999999978,18.844960098972567,1878
89,2.7670098999999997,15.462729999999977,18.752429682626133,1302
90,2.7984624,17.762729999999976,18.66538933102088,1881
91,2.8294011999999995,15.432729999999978,18.586323873220653,1305
92,2.8609355999999995,17.582729999999977,18.50972612385777,1884
