,Time [s],Fz [N],target position [-]
0,0.001228099999998733,-52.17750999999994,2075
1,0.13738649999999986,-14.997509999999941,1250
2,0.15687340000000027,-6.217509999999944,2052
3,0.18774409999999975,0.9124900000000569,1250
4,0.21916259999999887,5.872490000000058,2039
5,0.2510376999999995,10.292490000000058,1250
6,0.28188759999999924,12.932490000000058,2035
7,0.31325619999999965,11.492490000000059,1250
8,0.3445728999999993,14.852490000000058,2031
9,0.3760318999999992,16.442490000000056,1250
10,0.40725619999999907,17.402490000000057,2032
11,0.43829779999999907,18.022490000000058,1252
12,0.4699674999999992,18.512490000000057,2035
13,0.5003732999999997,19.012490000000057,1255
14,0.531260099999999,19.48249000000006,2039
15,0.5612739999999992,19.792490000000058,1259
16,0.5938628999999995,19.98249000000006,2043
17,0.6249193000000002,16.832490000000057,1264
18,0.6554286999999999,18.192490000000056,2044
19,0.6869142000000004,15.812490000000057,1267
20,0.7182805999999999,18.21249000000006,2044
21,0.7495320000000003,16.10249000000006,1270
22,0.7804649999999995,18.42249000000006,2044
23,0.8118528999999999,15.452490000000058,1273
24,0.8431301999999992,16.632490000000058,2044
25,0.873217799999999,15.532490000000058,1274
26,0.9043203000000002,16.762490000000057,2044
27,0.9352208999999991,16.17249000000006,1276
28,0.9657049000000004,16.862490000000058,2045
29,0.9964484999999996,15.662490000000059,1278
30,1.0277154999999993,16.722490000000057,2045
31,1.0592313000000004,15.832490000000057,1279
32,1.0902481000000002,16.67249000000006,2045
33,1.1209942000000002,16.292490000000058,1280
34,1.1513340000000003,17.34249000000006,2046
35,1.1821474999999992,16.46249000000006,1282
36,1.2129665999999997,17.48249000000006,2047
37,1.2449636999999996,19.91249000000006,1284
38,1.2752888999999996,20.152490000000057,2052
39,1.3063544999999994,14.882490000000058,1289
40,1.3371411000000002,18.03249000000006,2052
41,1.3687804000000003,14.662490000000059,1292
42,1.4002093999999996,18.042490000000058,2052
43,1.4310928,14.042490000000058,1295
44,1.4619195999999999,15.752490000000059,2052
45,1.492554199999999,14.122490000000058,1295
46,1.5231209000000003,15.80249000000006,2052
47,1.5535227999999996,14.642490000000059,1295
48,1.5842384000000003,15.882490000000058,2052
49,1.6154063999999995,14.812490000000057,1295
50,1.6459554,15.922490000000058,2052
51,1.6767638999999992,15.102490000000058,1295
52,1.7081602999999994,15.852490000000058,2052
53,1.7389679999999998,15.132490000000058,1295
54,1.769257099999999,15.932490000000058,2052
55,1.8002579999999995,15.872490000000058,1295
56,1.8315491999999995,16.192490000000056,2052
57,1.8613438000000002,16.98249000000006,1296
58,1.8924787999999992,16.92249000000006,2054
59,1.9231342999999992,18.362490000000058,1297
60,1.9545323999999997,19.24249000000006,2057
61,1.9852432999999987,13.942490000000058,1301
62,2.016093099999999,16.882490000000058,2054
63,2.046380299999999,14.152490000000057,1303
64,2.0784342999999996,17.272490000000058,2054
65,2.1094527000000003,14.112490000000058,1305
66,2.1406735,17.362490000000058,2054
67,2.1723353999999997,13.322490000000059,1308
68,2.2032396999999992,15.072490000000059,2051
69,2.234056299999999,15.512490000000058,1308
70,2.265006699999999,15.652490000000057,2051
71,2.296423599999999,15.652490000000057,1308
72,2.3263327,15.702490000000058,2051
73,2.3572191,15.662490000000059,1308
74,2.388402299999999,15.672490000000058,2051
75,2.4187966000000003,15.692490000000058,1308
76,2.4497941,15.672490000000058,2051
77,2.4808512999999994,15.652490000000057,1308
78,2.5123447999999993,15.932490000000058,2051
79,2.543329,16.742490000000057,1308
80,2.5750572,17.03249000000006,2052
81,2.6064024000000003,16.812490000000057,1310
82,2.6368235,17.222490000000057,2053
83,2.6688479999999988,17.632490000000058,1312
84,2.6991195999999995,19.10249000000006,2055
85,2.730680999999999,14.352490000000058,1316
86,2.762345999999999,17.78249000000006,2055
87,2.7929905,13.382490000000058,1319
88,2.824263199999999,15.132490000000058,2052
89,2.8552307999999993,14.842490000000058,1319
90,2.8860747,15.612490000000058,2052
91,2.917725299999999,14.892490000000059,1319
92,2.9494556000000003,15.572490000000059,2052
93,2.9809652,15.602490000000058,1319
94,3.0107327999999995,15.972490000000057,2052
95,3.0420336999999993,16.882490000000058,1319
96,3.072745099999999,16.722490000000057,2054
97,3.1034992999999993,15.542490000000058,1320
98,3.1346852,16.67249000000006,2054
99,3.165050899999999,15.592490000000058,1321
100,3.195840799999999,16.882490000000058,2054
101,3.2266516999999997,15.162490000000059,1323
102,3.2587080000000004,17.05249000000006,2054
103,3.290858199999999,14.432490000000058,1325
104,3.320629499999999,17.21249000000006,2054
105,3.3518843999999994,14.182490000000058,1327
106,3.3835338000000004,15.012490000000058,2054
107,3.4142905999999993,13.752490000000059,1327
108,3.446072299999999,15.182490000000058,2052
109,3.475981299999999,15.292490000000058,1327
110,3.507296499999999,15.46249000000006,2052
111,3.5378550000000004,15.422490000000058,1327
112,3.568529999999999,15.442490000000058,2052
113,3.5997278999999995,15.402490000000057,1327
114,3.631531599999999,15.402490000000057,2052
115,3.6623453,15.402490000000057,1327
116,3.6942027,15.522490000000058,2052
117,3.7256786999999996,16.372490000000056,1327
118,3.7572224,16.792490000000058,2053
119,3.787269199999999,16.692490000000056,1328
120,3.818771699999999,17.17249000000006,2054
121,3.8503141999999997,15.512490000000058,1330
122,3.8812245999999995,17.57249000000006,2054
123,3.913659299999999,14.622490000000058,1332
124,3.9448755,15.102490000000058,2054
125,3.975539699999999,14.412490000000059,1332
126,4.0064008,15.322490000000059,2054
127,4.0374081,13.602490000000058,1332
128,4.0682996,15.092490000000058,2052
129,4.0981188,15.182490000000058,1332
